lambda,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9
25.6,13884200.0,-1.46978e-05,0.00168003,0,0,0.0,0,0,0.0,0.0
28.4,0.0,0.0,0.0,0,0,-1596760000.0,0,0,16044100.0,9436400.0
30.3,0.0,0.0,0.0,0,0,-1058220000.0,0,0,10070500.0,7176960.0
30.4,213752000.0,-0.000226291,0.0258646,0,0,0.0,0,0,0.0,0.0
36.8,0.0,0.0,0.0,0,0,287050000.0,0,0,2795810.0,1721420.0
46.5,0.0,0.0,0.0,0,0,58912200.0,0,0,844715.0,520445.0
55.4,-79754800.0,-2.02374e-05,0.00219424,0,0,0.0,0,0,0.0,0.0
58.4,-2404950000.0,-0.000153653,0.0175749,0,0,0.0,0,0,0.0,0.0
61.0,0.0,0.0,0.0,0,0,-241248000.0,0,0,5224890.0,2801060.0
63.0,-335132000.0,-6.9345e-05,0.00793129,0,0,0.0,0,0,0.0,0.0
70.3,-23382400.0,-1.34269e-05,0.00145498,0,0,0.0,0,0,0.0,0.0
76.5,-97016600.0,-1.18976e-05,0.00128858,0,0,0.0,0,0,0.0,0.0
77.0,0.0,0.0,0.0,0,0,-33993900.0,0,0,1759600.0,1127210.0
97.7,-2789480000.0,-0.000314466,0.0340743,0,0,0.0,0,0,0.0,0.0
102.6,-4357720000.0,-0.000276365,0.0316046,0,0,0.0,0,0,0.0,0.0
103.2,-5709130000.0,-0.000374537,0.0405736,0,0,0.0,0,0,0.0,0.0
